SIORG,Nome do Órgão,Última Atualização,Sigla/Nome do Software,Finalidade/Descrição,Área,Criticidade,Categoria 1,Categoria 2,Categoria 3,Compartilhar?,Por quê não compartilhar?,Nível de satisfação com o uso,Plataforma Operacional,Sistema Operacional,Linguagem de Programação,Banco de Dados,Frameworks/Bibliotecas,Integrações,Situação
45104,Abin – Agência Brasileira de Inteligência,42513,ARENA,Sistema que aplica a metodologia Análise de Risco com Ênfase na Ameaça.,Fim,Alta,,,Análise de risco,Não,Metodologia e conteúdo sensíveis,Atende às expectativas,Web,Linux e Windows,PHP e Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,ATHENA,"Serviço de mensageria instantânea e cifrada, por meio da Internet, para plataforma móvel.",Fim,Alta,Comunicações,,,Não,Algorítimo de criptografia de Estado,Atende às expectativas,Mobile,Linux e Android,Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,PAINEL ABIN,Serviço em plataforma web para armazenamento e transmissão de dados e informações. ,Fim,Alta,Comunicações,Gerenciamento de Conteúdo,,Não,Gerenciamento de conteúdo sensível inerente à atividade do orgão,Atende às expectativas,Web,Linux,PHP ,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,CICLO,Conjunto integrado de sistemas da informação voltados para os processos administrativos-financeiros e de recursos humanos.,Meio,Alta,Administração,,,Sim,"SIM, Projeto aberto da UFRN mediante convênio",Precisa melhorar,Web,Linux,Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,Portais Abin,"Conjunto de sítios para divulgação de conteúdo institucional, eventos, notícias, boletins, fóruns, formulários, informações administrativas, consulta a dados cadastrais, contracheque, cadastro de visitantes, pesquisa em acervo bibliotecário, e atendimento ao usuário.",Meio,Alta,Comunicações,Portais Internet,,Não,Manter sigilo sobre a tecnologia utilizada para não vulnerabilizar,Atende às expectativas,Web,Linux,PHP ,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,Análise de Vínculos,"A solução consiste em software de análise de vínculos baseado em ontologias como ferramenta tecnológica de gestão da informação, com a capacidade de ampliar e automatizar a tarefa de integração de dados e identificação de relacionamentos da base de conhecimento.",Fim,Alta,,,Análise de vínculos,Não,Solução comercial disponível para aquisição no mercado.,Atende às expectativas,Cliente/Servidor,Windows,C++ e .NET,Microsoft SQL Server 2012,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,SARHA,Sistema de apoio a recursos humanos e a sua administração.,Meio,Alta,Administração,Recursos Humanos,,Não,Legado,Precisa melhorar,Cliente/Servidor,Linux,Forms,Oracle,,,Em produção
4243,AEB – Agência Espacial Brasileira,42513,AEB Cloud,Sistema open-source de armazenamento em nuvem ,Meio,Baixa,Administração,Gerenciamento de Conteúdo,,Sim,,Atende às expectativas,Cliente/Servidor,Ubuntu,PHP,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Proton,Sistema de protocolo,Meio,Alta,Administração,GED – Gestão Eletrônica de Documentos,,Não,Software proprietario,Atende às expectativas,Cliente/Servidor,CentOS,PHP,PostgreSQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Almoxarifado,Sistema de controle de produtos do almoxarifado,Meio,Baixa,Administração,Patrimônio,,Não,O sistema não atende todos os requisitos da área,Precisa melhorar,Cliente/Servidor,CentOS,JAVA,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Patrimonio,Sistema de controle de patrimônio,Meio,Média,Administração,Patrimônio,,Não,Sistema desenvolvido pelo INPE.,Atende às expectativas,Cliente/Servidor,CentOS,JAVA,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Gepeto,Sistema de gestão de pessoas,Meio,Baixa,Administração,Recursos Humanos,,Não,Sistema não atende as expectativas da área. Linguagem ultrapassada e repleto de bugs.,Não atende ao que se propõe,Cliente/Servidor,CentOS,FlexJAVA,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Mail,,Meio,Alta,Comunicações,,,Não,Sistema será substituido pelo exchange,Atende às expectativas,Cliente/Servidor,CentOS,PHP,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,igovti,Sistema para simulação de resultados do nível de governaça levantados pelo TCU,Meio,Baixa,Planejamento e Gestão,,,Sim,,Precisa melhorar,Cliente/Servidor,Ubuntu,PHP,MySQL,,,Em produção
4243,AEB – Agência Espacial Brasileira,42513,chataeb,Sistema open-source de chat.,Meio,Baixa,Comunicações,,,Sim,,Atende às expectativas,,Ubuntu,METEOR,MONGODB,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,kanban,Sistema open-source para gerenciamento de projetos utilizando kanban,Meio,Baixa,Planejamento e Gestão,,,Sim,,Atende às expectativas,,Ubuntu,METEOR,MONGODB,,,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,AEV,O AEV - Sistema da Autorização Especial de Voo tem como objetivo automatizar a solicitação e emissão de autorizações de especiais de voo que constam no MPR-100  capítulo 10 feita por empresas aéreas e de manutenção com o objetivo de transladar ou efetuar voos de teste em aeronaves com certificado de aeronavegabilidade inválida.,Fim,Média,Transportes,,,Sim,,Atende às expectativas,Web,,.NET,SQL,,,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,AGENDA,"Registro da agenda diária de autoridades tendo em vista o cumprimento do art. 11 da lei nº 12.813, de 16/05/2013, que obriga a publicação diária na internet da agenda dos agentes públicos com cargo Diretoria, Superintendência, Assessoria, Gerencia e Auditoria.",Meio,Média,Planejamento e Gestão,Rede Social / Interações com o cidadão,,Sim,,Precisa melhorar,Web,,.NET,Oracle,,SISRH,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,ALTE,Realizar o registro das aeronaves nacionais no RAB (Registro Aeronáutico Brasileiro). ,Fim,Alta,Transportes,,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,SCA/SVA/INIB/DIPAA/PESQPO/TSE/RGA/ALERTA/SHA,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,AVSEC,Sistema de segurança da aviação civil brasileira.,Fim,Média,Transportes,,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,CADINSPAC,Funcionar como base de dados da ANAC para registro de informações de servidores (principalmente INSPAC) e consulta.,Fim,Média,Transportes,Recursos Humanos,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,SISRH/SCA,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,DCERTA,"O sistema DCERTA tem por finalidade o acompanhamento e verificação da regularidade de certificados e licenças de aeronaves, tripulações técnicas e aeródromos de destino, com base nos dados informados no plano de voo, instituído com a publicação da Resolução n° 151, de 7 de maio de 2010. O piloto em comando, previamente à fase de preparação para o voo, deve certificar-se da regularidade dos documentos no Simulador do DCERTA.",Fim,Alta,Transportes,Controle de Processos,,Sim,,Precisa melhorar,Web,,ASP/VB,Oracle,,PEL/TELCOM/SINCOFAC/AERONAVE/STE/INSPECAO SAUDE,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,e-Riam,Relatório de Inspeção Anual de Manutenção Eletrônico,Fim,Média,Transportes,Auditoria e Controle Interno,,Sim,,Atende às expectativas,Web,,.NET,SQL,,SICO/SCA/PAM,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,EXAMCRED,"O Aeronauta solicita serviço de Revalidação de Habilitação, quando o processo é deferido ou quando existe um processamento automático, o sistema calcula a nova Data de Validade da Habilitação e Atualiza no Sistema.",Fim,Média,Transportes,Controle de Processos,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,SISHAB,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,HABILITAÇÃO,"O sistema permite a solicitação de serviços referentes à Habilitação, bem como a realização da pré-análise e Análise do Processo até sua conclusão.",Fim,Alta,Transportes,Controle de Processos,,Sim,,Atende às expectativas,Web,,JAVA,Oracle,,EMPRESAS/CERT. DE CENTROS/SPAT,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,HOTRAN,Gerenciar e receber diariamente os pedidos de solicitação de voos e os pareceres dos Membros Consultivos relacionados na Portaria DGAC N° 692.,Fim,Alta,Transportes,Controle de Processos,,Sim,,Precisa melhorar,Web,,JAVA,Oracle,,BAV/EMPRESAS/ESTATISTICAS,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,Portal de Arquivos,Sistema responsável por receber arquivos das empresas aéreas e encaminhar para o respectivo módulo responsável por fazer seu processamento.,Fim,Média,Transportes,,,Sim,,Precisa melhorar,Web,,.NET,SQL,,SIGAD,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,PEL,"Ser o repositório de dados oficiais referentes aos aeronautas e aeroviários regulados pela ANAC, e permitir o  controle das tabelas de domínio dos campos parametrizáveis (relacionais) utilizados no âmbito da certificação de pessoas (licenças e habilitações).",Fim,Alta,Transportes,,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,CIV/VLEE/INFO/EXAMES/IMPRESSAO CHT/DADOS AERONAUTA/HABLITAÇÃO/UPLOAD ARQUIVOS/INSPEÇÃO SAÚDE/PROFLING/PROVAS ONLINE/SISHAB,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SGE,Sistema de Gerenciamento de Eventos,Meio,Média,Transportes,,,Sim,,Atende às expectativas,Web,,.NET,SQL,,SISRH,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SICO,Sistema de Informações Corporativas,Fim,Alta,Transportes,,,Sim,,Precisa melhorar,Software como serviço,,.NET,SQL,,CORREIOS E RECEITA FEDERAL,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SIGEC,Sistema Integrado de Gestão de Créditos,Meio,Alta,Transportes,Contabilidade/Financeiro/Orçamento,,Sim,,Atende às expectativas,Web,,ASP,SQL,,SISJUR/GRU/HABILITAÇÃO/RESERVA DE MARCAS/SMI/E-AEV/PROVAS ONLINE,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SISAD,Sistema de Avaliação de Desempenho,Meio,Média,Transportes,Recursos Humanos,,Sim,,Atende às expectativas,Web,,.NET,Oracle,,SISRH,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SISHAB,Sistema de Habilitação (empresas aéreas),Fim,Alta,Transportes,,,Sim,,Atende às expectativas,Web,,ASP,Oracle,,GRU/IMPRESSAO CHT/PEL,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SISRH,Sistema de Recursos Humanos,Meio,Alta,Transportes,Recursos Humanos,,Sim,,Atende às expectativas,Web,,JAVA,Oracle,,,Em produção
86144,Agência Nacional de Aviação Civil – ANAC,42513,SMI_NOVO,Novo Sistema de Multa e Infrações,Fim,Alta,Transportes,,,Sim,,Supera as expectativas,Web,,.NET,SQL,,SICO/SIGAD,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Agenda,"O Sistema Agenda possui como objetivo o cadastramento e controle de compromissos das autoridades da Agência. Atua também como agente de transparência no portal LAI (Lei de Acesso à Informação) da ANTAQ, pois serve como produtor de informações na disponibilização externa dos compromissos da diretoria colegiada",Meio,Baixa,Planejamento e Gestão,,Controle de Agenda,Sim,Excesso de burocracia no Portal de software público para fazê-lo.,Atende às expectativas,Web,Windows,.Net,MS SQL,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Arrendamento,"O Sistema de Outorgas Portuárias – ArrendamentoV2 é administrado pela GPO - Gerência de Portos Organizados e tem por finalidade o cadastro dos instrumentos contratuais de exploração de áreas e instalações portuárias, bem como a visualização de relatórios gerenciais",Fim,Média,Planejamento e Gestão,,Controle de Arrendamentos e contratos,Sim,Excesso de burocracia no Portal de software público para fazê-lo.,Atende às expectativas,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Auditoria,O Sistema de Auditoria de Aplicações é um sistema interno da STI e possui como objetivo informar sobre LOG de transações (Inclusões/Alterações e Exclusões) de alguns sistemas da Agência,Meio,Baixa,Planejamento e Gestão,,Auditoria de Sistemas,Não,Sistema carece de evoluções.,Precisa melhorar,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Avaliação,"O Sistema de Avaliação é utilizado pelas chefias para efetuar a avaliação periódica de estágio probatório dos servidores do quadro efetivo da ANTAQ, conforme norma vigente",Meio,Média,Planejamento e Gestão,,Avaliação de estágio probatório.,Não,Sistema muito amarrado a arquitetura de sistemas da Agência,Precisa melhorar,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Corporativo,"O Sistema Corporativo é um dos principais sistemas da Agência. Nele são feitos os cadastros de empresas, embarcações, portos, TUPs além do cadastro e controle de outorgas e autorizações. O banco de dados mantido por esse sistema serve de suporte para os demais sistemas da ANTAQ.",Fim,Alta,Planejamento e Gestão,,Cadastro central de sistemas.,Não,muito específico da Agência.,Precisa melhorar,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,Ouvidor,"O Sistema da Ouvidoria (Versão 2) é uma aplicação que atua no recebimento, encaminhamento e resposta de manifestações (denúncias, críticas, agradecimentos, reclamações, elogios etc.) do público interno e externo (cidadãos).",Fim,Alta,Planejamento e Gestão,Ouvidoria,,Sim,Excesso de burocracia no Portal de software público para fazê-lo.,Atende às expectativas,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,SAMA,"O Sistema de Afretamento da Navegação Marítima e de Apoio é utilizado pela Superintendência de Outorgas - SOG e tem por função efetuar o controle dos registros dos afretamentos feitos nas navegações de Longo Curso, Cabotagem e Apoio (Marítimo e Portuário).",Fim,Alta,Planejamento e Gestão,,Controle de Afretamento de embarcações,Não,muito específico da Agência.,Atende às expectativas,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,SARH,"O Sistema de Recursos Humanos é um sistema utilizado para coletar, registrar, armazenar, analisar e recuperar dados sobre os recursos humanos da ANTAQ. Possui alguns controles como horários de servidores, férias e frequência. O SARH também apoia outros sistemas tais como Avaliação de Desempenho (SAG) e o sistema de Avaliação de Estágio Probatório",Meio,Alta,Planejamento e Gestão,Recursos Humanos,,Sim,Excesso de burocracia no Portal de software público para fazê-lo.,Atende às expectativas,Web,Windows,.Net,,,,Em produção
54843,Agência Nacional de Transportes Aquaviários – ANTAQ,42513,SISAP,"O SISAP é um sistema no qual são cadastradas as normas passíveis de obtenção de contribuições do público em geral. Há dois módulos, um interno (Intranet) e outro externo (Internet). No primeiro a ANTAQ cadastra a norma, no segundo o público faz a contribuição.",Fim,Média,Planejamento e Gestão,,Gestão de controle de contribuições em audiências públicas.,Sim,Excesso de burocracia no Portal de software público para fazê-lo.,Precisa melhorar,Web,Windows,.Net,,,,Em produção
46,AGU – Advocacia Geral da União,42513,0800 Eletrônico,"Registrar as demandas administrativas relacionadas aos serviços oferecidos pela SGAGU nas áreas de: RH, Logística, Orçamento e Finanças, Unidades Descentralizadas e Documentação e informação.",Meio,Média,Administração,Controle de Demandas/Chamados,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,AC - Acompanhamento Correicional,Controle dos relatórios da Corregedoria e seus apontamentos e execução (Demandas),Meio,Média,,,Correição e assuntos disciplinares,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Agenda de Autoridades,Ferramenta para inserção de agenda dos dirigentes no Institucional/Acesso à Informação do Site da AGU,Meio,Média,Administração,Portais Internet,Agendamento,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,AGU Acesso,"Sistema de Controle de Acesso antigo e não mais utilizado, mas que se pode consultar registros de usuários na base AGU Estrutura.",Meio,Média,Administração,Portaria,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGU Estrutura,"Robô do estrutura. Base que recebe dados funcionais do AGUPessoas, colaboradores e externos, e também órgãos externos ligados ou não à AGU.",Meio,Média,Administração,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUAntiguidade,Ferramenta para geração de listas de antiguidade,Meio,Média,Administração,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUAtos,Cadastro de normas e pareceres da AGU,Fim,Média,,,Gestão e consulta de atos normativos para atividade consultiva da AGU,Não,Em descontinuidade.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUCorreio,"Sistema de envio de e-mail, contendo listas com agrupamento especifico",Meio,Média,Comunicações,,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUDOC,Controle de documentos e processos administrativos,Meio,Média,Administração,Controle de Processos,,Não,Em descontinuidade.,Precisa melhorar,Web,Windows Server 2003,Lightbase,Lightbase,Lightbase,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUGestor de Conteudo (Intranet e Internet),Sistema de Gestão de Conteúdo das informações contidas no site e na intranet da AGU,Meio,Média,,Gerenciamento de Conteúdo,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGULivros,Sistema de cadastramento das necessidades bibliográficas da instituição,Meio,Média,,Biblioteca,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUOuvidoria,"Sistema que faz a captação de elogios, críticas, denúncias e respectivo tratamento dentro da AGU",Meio,Média,,Ouvidoria,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUPessoas,"Base de dados de Pessoas (servidores, requisitados, sem vínculo)",Meio,Alta,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUPromoção,"Sistema que faz a apuração de promoção nas carreiras de Advogado da União, Procurador Federal e da Fazenda Nacional",Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,AGUVisita - Controle de Visitantes,Controle de visitantes,Meio,Média,,Portaria,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Aniversariantes,Ferramenta de cadastro de usuários que não querem receber e-mail de felicitações em seu aniversário.,Meio,Média,Administração,,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,ASI - Sistema de Patrimônio,Sistema de controle de Patrimônio e Material de Consumo,Meio,Média,,Patrimônio,,Não,Porque não é proprietário da AGU.,Precisa melhorar,Cliente/Servidor,Windows Server 2003,Visual Basic,SQL Server,,,Em produção
46,AGU – Advocacia Geral da União,42513,Assinador Digital,Ferramenta que assina digitalmente documentos produzidos pelos usuários de sistemas da AGU,Meio,Média,Administração,,Assinador digital de documentos,Não,Em descontinuidade.,Precisa melhorar,Desktop,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,Banco de Talentos,Coleta de dados e qualificações para nomeação/gratificação,Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,Light Base server pages,Lightbase,Lightbase,,Em produção
46,AGU – Advocacia Geral da União,42513,Cadenex,Ferramenta de Cadastro de endereços externos em unidades da PGFN no Mapa de Unidades do Site da AGU,Meio,Média,Administração,,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Calculadora (Atualização Monetária),Atualização monetária de cálculos judiciais,Fim,Média,,Contabilidade/Financeiro/Orçamento,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,CatalogoAGU/Atualiza,Atualização de dados do catálogo de unidades,Meio,Média,Administração,,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,CGU Gestão,Ferramenta para levantamento de informações gerenciais junto às unidades da CGU - formulários eletrônicos para acompanhamento do trabalho.,Meio,Média,Administração,,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,CGUinf,Base de dados de Atos da Consultoria Geral da União,Fim,Média,,,Gestão e consulta de atos normativos para atividade consultiva da AGU,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,Light Base server pages,Lightbase,Lightbase,,Em produção
46,AGU – Advocacia Geral da União,42513,CONTA,Sistema de Gestão de Contratos,Meio,Média,,Gerenciamento de Contratos,,Sim,,Atende às expectativas,Web,Windows Server 2003,PHP,ORACLE/Postgree,JQUERY/ZEND,,Em produção
46,AGU – Advocacia Geral da União,42513,Demandas,Controle analítico de demandas da área de TI. ,Meio,Média,,Controle de Demandas/Chamados,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Diárias e Passagens ,Sistema de controle de Diárias e passagens de servidores / colaboradores,Meio,Média,,Viagem,,Não,Em descontinuidade.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Dossiê Eletrônico,"Repositório de mídias que perfazem uma coleção de documentos relativos a determinado assunto, processo, negócio, fato ou pessoa. Utilizado para atender os sistemas negociais.",Fim,Média,,Controle de Processos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,Férias,"Permite aos servidores, marcarem férias, dentro das respectivas regras e opções a que façam jus, para posterior envio e carga na base de dados do SIAPE.",Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Folha,Ferramenta para acessar e imprimir folha de ponto de servidores,Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Frequência,Gerador do Boletim Mensal de frequência dos membros e servidores da AGU,Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,GADE - Avaliação de Desempenho,Sistema de Avaliação de Desempenho,Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Gerencia RH - Cadastro de Colaboradores,"Cadastro de acesso à Rede AGU por colaboradores (terceirizados, servidores e empregados externos à AGU)",Meio,Média,,Controle de acesso rede/sistemas,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Gestão,"Em menu da intranet, Ferramenta de consulta  ""Perfil de Unidade"" e ""Quadro de Pessoal"" com dados do AGU Pessoas",Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Gestão de Acesso,Gestão de acesso a sistemas e funcionalidades por meio de atribuição e transações aos usuários,Meio,Média,,Controle de acesso rede/sistemas,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,Gestão Intranet,Ferramenta para gerenciamentos de Menu e Submenu; e de visualização de funcionalidades em páginas da intranet - Destaques e Sistemas,Meio,Média,,Gerenciamento de Conteúdo,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,C#,ORACLE,Log4Net/NHibernate/AjaxToolkit/JQuery,,Em produção
46,AGU – Advocacia Geral da União,42513,GP-WEB,Acompanhamento de projetos - Cronograma,Meio,Média,,Gerenciamento de Projetos,,Não,Porque não é proprietário da AGU.,Precisa melhorar,Web,Windows Server 2003,PHP,MySQL,,,Em produção
46,AGU – Advocacia Geral da União,42513,Identidade Funcional,"Sistema que registra as solicitações de identidade Funcional, bem como emite lote para impressão.",Meio,Média,,Recursos Humanos,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Licitações,Registro de informações básicas dos processos de licitação da AGU,Meio,Média,,Licitação,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
46,AGU – Advocacia Geral da União,42513,Ligações,Documentar Ligações e escritura-las,Meio,Média,,Rede Social / Interações com o cidadão,,Não,Porque precisa melhorar.,Precisa melhorar,Web,Windows Server 2003,ASP,ORACLE,FPDF/clsUpload/HTML/Window Widget/Crystal Reports ,,Em produção
